activity_id,molecule_chembl_id,canonical_smiles,molecule_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,assay_description,assay_type,document_chembl_id,document_journal,document_year,target_chembl_id,target_pref_name
153612,CHEMBL128838,NCCCC[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,,K obs / 1,=,4.2,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
153613,CHEMBL338267,C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,Inhibition,=,0.0,%,,CHEMBL664816,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 2 min incubation,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
153614,CHEMBL338267,C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,Inhibition,=,100.0,%,,CHEMBL857573,Percentage inhibition was measured on human placenta dipeptidylpeptidase 4 after 30 min,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
153616,CHEMBL338267,C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,,K obs / 1,=,28.0,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
153625,CHEMBL340965,C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccc(F)cc1)Oc1ccc(F)cc1,,K obs / 1,=,12.0,M-1 s-1,,CHEMBL666471,The second order inhibition rate constant was measured against human placenta dipeptidylpeptidase 4,B,CHEMBL1127410,J Med Chem,1994,CHEMBL284,Dipeptidyl peptidase 4
153638,CHEMBL303131,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,17000.0,nM,4.77,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
154815,CHEMBL292342,O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,,IC50,=,250.0,nM,6.60,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
158513,CHEMBL63698,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,44.0,nM,7.36,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
158514,CHEMBL291428,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,,IC50,=,63.0,nM,7.20,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
159693,CHEMBL66189,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,,IC50,=,30000.0,nM,4.52,CHEMBL665783,In vitro for inhibition of Dipeptidylpeptidase IV.,B,CHEMBL1129318,J Med Chem,1996,CHEMBL284,Dipeptidyl peptidase 4
